[1, 0, 0]:%:%:%:but the 2 is fantastic in its own right .
[1, 0, 0]:%:%:%:reading my kindle 2 . . . love it . . . lee childs is good read .
[1, 0, 0]:%:%:%:first assesment of the #kindle2 . . . it fucking rocks ! ! !
[1, 0, 0]:%:%:%:@kenburbary you'll love your kindle 2 . i've had mine for a few months and never looked back . the new big one is huge ! no need for remorse ! :)
[1, 0, 0]:%:%:%:@mikefish fair enough . but i have the kindle 2 and i think it's perfect :)
[1, 0, 0]:%:%:%:@richardebaker no . it is too big . i'm quite happy with the kindle 2 .
[0, 0, 1]:%:%:%:fuck this economy . i hate aig and their non loan given asses .
[1, 0, 0]:%:%:%:jquery is my new best friend .
[1, 0, 0]:%:%:%:loves twitter
[1, 0, 0]:%:%:%:how can you not love obama ? he makes jokes about himself .
[0, 1, 0]:%:%:%:check this video out - - president obama at the white house correspondents ' dinner http://bit.ly/imxum
[0, 0, 1]:%:%:%:but they want to destroy conservatism
[1, 0, 0]:%:%:%:obama got a standing ovation
[1, 0, 0]:%:%:%:watchin espn . . jus seen this new nike commerical with a puppet lebron . . sh * t was hilarious . . . lmao ! ! !
[0, 0, 1]:%:%:%:@vincentx24x
[1, 0, 0]:%:%:%:if not all time ( basketball related ) i don't want to get into inter-sport debates about __1 / 2
[0, 0, 1]:%:%:%:i was talking to this guy last night and he was telling me that he is a die hard spurs fan . he also told me that he hates lebron james .
[1, 0, 0]:%:%:%:i love lebron . http://bit.ly/pdhur
[0, 0, 1]:%:%:%:but i'm still cheering 4 the a . . til the end .
[1, 0, 0]:%:%:%:@pmillzz lebron is the boss
[1, 0, 0]:%:%:%:lol
[1, 0, 0]:%:%:%:lebron and zydrunas are such an awesome duo
[1, 0, 0]:%:%:%:@wordwhizkid lebron is a beast . . . nobody in the nba comes even close .
[1, 0, 0]:%:%:%:downloading apps for my iphone ! so much fun :-) there literally is an app for just about anything .
[1, 0, 0]:%:%:%:saying everything is fine . . . . . what a relief ! i am sick of scams out there ! stealing !
[1, 0, 0]:%:%:%:http://twurl.nl/epkr4b - awesome come back from @biz ( via @fredwilson )
[1, 0, 0]:%:%:%:in montreal for a long weekend of r & amp ; r . much needed .
[1, 0, 0]:%:%:%:booz allen hamilton has a bad ass homegrown social collaboration platform . way cool ! #ttiv
[1, 0, 0]:%:%:%:[ #mluc09 ] customer innovation award winner : booz allen hamilton - - http://ping.fm/c2hpp
[1, 0, 0]:%:%:%:but not as much as the canon 40 d / 50 d . i chose the d90 for the video feature . my mistake .
[0, 1, 0]:%:%:%:need suggestions for a good ir filter for my canon 40 d . . . got some ? pls dm
[0, 1, 0]:%:%:%:@surfit : i just checked my google for my business - blip shows up as the second entry ! huh . is that a good or ba . . . ? http://blip.fm/ ~ 6 emhv
[1, 0, 0]:%:%:%:@kimblet .
[0, 0, 1]:%:%:%:played with an android google phone . the slide out screen scares me i would break that fucker so fast . still prefer my iphone .
[0, 0, 1]:%:%:%:us planning to resume the military tribunals at guantanamo bay . . . only this time those on trial will be aig execs and chrysler debt holders
[0, 0, 1]:%:%:%:omg so bored & amp ; my tattoooos are so itchy ! ! help ! aha =)
[0, 0, 1]:%:%:%:i'm itchy and miserable !
[0, 0, 1]:%:%:%:lol .
[1, 0, 0]:%:%:%:rt @jessverr i love the nerdy stanford human biology videos - makes me miss school . http://bit.ly/13t7nr
[1, 0, 0]:%:%:%:it would be insane .
[1, 0, 0]:%:%:%:he's so amazing . i & lt ; 3 him so much :)
[1, 0, 0]:%:%:%:is going to sleep then on a bike ride :]
[0, 0, 1]:%:%:%:cant sleep . . . my tooth is aching .
[0, 0, 1]:%:%:%:going back to sleep i guess .
